Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
1900,"Sir/Madam, How do I reset my university portal password",IT Support,10,Medium
1792,"Respected sir, What are the library working hours",Library,12,Low
5650,"Sir/Madam, How do I reset my university portal password",IT Support,24,Medium
629,"Hello, When will the exam timetable be released",Examination Cell,38,Medium
2813,"Hi, Emergency hostel issue water leakage in my room right now",Hostel Office,5,High
5253,What are the library working hours,Library,50,Low
4455,"Respected sir, General query about elective subject options",Administration,7,Low
312,Where can I find old question papers,Administration,59,Low
3373,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,55,High
5466,"Hi, Placement registration form is not opening properly",Placement Cell,55,Medium
2743,"Hi, I need a bonafide certificate from the admission office",Admission Cell,4,Medium
438,"Hi, When will the exam timetable be released",Examination Cell,43,Medium
5894,Hostel room change request for next semester,Hostel Office,53,Medium
1825,"Hello, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,50,High
1816,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,13,High
5686,"Hello, Library fine needs to be cleared please advise",Library,44,Medium
3798,How do I reset my university portal password,IT Support,22,Medium
3440,"Sir/Madam, How can I update my contact details in the portal",IT Support,23,Low
1738,Placement registration form is not opening properly,Placement Cell,22,Medium
1564,"Hello, Placement registration form is not opening properly",Placement Cell,44,Medium
5205,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,2,High
5596,"Hello, What documents are needed for hostel allotment",Hostel Office,18,Low
690,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,59,High
3676,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,19,High
1015,"Sir/Madam, How do I reset my university portal password",IT Support,6,Medium
879,"Hi, My fee receipt was not generated after payment",Finance Office,32,Medium
3316,"Hello, I need a bonafide certificate from the admission office",Admission Cell,15,Medium
2974,My scholarship amount has not been credited and fee deadline is near,Finance Office,57,High
2800,"Sir/Madam, When will the exam timetable be released",Examination Cell,33,Medium
3561,Emergency hostel issue water leakage in my room right now,Hostel Office,35,High
5153,What are the library working hours,Library,59,Low
4959,"Hello, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,39,High
2997,"Respected sir, What are the library working hours",Library,52,Low
5740,How do I apply for an internship through placement cell,Placement Cell,36,Low
5593,"Hi, I want to know the scholarship application status",Finance Office,10,Medium
3736,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,48,High
2551,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,48,High
645,I need my admission confirmed urgently before the cutoff today,Admission Cell,58,High
3764,"Respected sir, I need my admission confirmed urgently before the cutoff today",Admission Cell,42,High
5864,"Hi, How do I apply for an internship through placement cell",Placement Cell,10,Low
3957,"Hello, I want to know the scholarship application status",Finance Office,20,Medium
1776,What is the procedure for a transcript request,Administration,10,Low
238,I want to know the scholarship application status,Finance Office,4,Medium
2740,How do I apply for an internship through placement cell,Placement Cell,24,Low
5823,"Hello, What are the library working hours",Library,12,Low
2811,"Hi, When will the exam timetable be released",Examination Cell,48,Medium
2058,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,39,High
2709,"Hi, General query about elective subject options",Administration,60,Low
4258,"Hi, What documents are needed for hostel allotment",Hostel Office,28,Low
1946,I am locked out of the portal and need to pay fee before deadline,Finance Office,45,High
2935,"Respected sir, My fee receipt was not generated after payment",Finance Office,22,Medium
1050,"Hello, Hostel room change request for next semester",Hostel Office,18,Medium
943,"Hello, How do I apply for an internship through placement cell",Placement Cell,26,Low
4671,"Sir/Madam, Library fine needs to be cleared please advise",Library,28,Medium
2981,"Hi, How to join student clubs at the university",Administration,26,Low
2227,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,13,High
4781,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,8,High
2586,"Respected sir, How to join student clubs at the university",Administration,14,Low
3439,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,33,High
3211,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,1,Medium
1715,"Hello, When will the exam timetable be released",Examination Cell,10,Medium
1114,"Hi, Hostel room change request for next semester",Hostel Office,5,Medium
1575,"Hello, What are the library working hours",Library,29,Low
854,"Hi, What documents are needed for hostel allotment",Hostel Office,56,Low
1519,How to join student clubs at the university,Administration,54,Low
1362,"Respected sir, How do I apply for an internship through placement cell",Placement Cell,11,Low
1795,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,6,High
3355,Urgent I cannot download my hall ticket exam is tomorrow,Examination Cell,9,High
898,"Respected sir, When will the exam timetable be released",Examination Cell,34,Medium
2918,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,2,High
1630,"Respected sir, How do I reset my university portal password",IT Support,58,Medium
5057,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,15,High
5715,"Sir/Madam, General query about elective subject options",Administration,22,Low
2925,"Hi, I want to know the scholarship application status",Finance Office,4,Medium
4195,How to join student clubs at the university,Administration,51,Low
3407,"Respected sir, My fee receipt was not generated after payment",Finance Office,5,Medium
5750,"Sir/Madam, Hostel room change request for next semester",Hostel Office,18,Medium
2662,How can I update my contact details in the portal,IT Support,7,Low
5759,Library fine needs to be cleared please advise,Library,58,Medium
5116,"Respected sir, Library fine needs to be cleared please advise",Library,50,Medium
592,"Respected sir, General query about elective subject options",Administration,23,Low
1990,"Sir/Madam, Hostel room change request for next semester",Hostel Office,12,Medium
1603,"Hi, How do I apply for an internship through placement cell",Placement Cell,20,Low
5104,"Respected sir, What documents are needed for hostel allotment",Hostel Office,56,Low
5151,Library fine needs to be cleared please advise,Library,13,Medium
4930,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,36,High
3182,"Respected sir, What documents are needed for hostel allotment",Hostel Office,42,Low
478,"Sir/Madam, How to join student clubs at the university",Administration,56,Low
4866,Where can I find old question papers,Administration,34,Low
4102,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,9,High
938,"Hi, General query about elective subject options",Administration,29,Low
116,Emergency hostel issue water leakage in my room right now,Hostel Office,43,High
753,"Hello, Placement registration form is not opening properly",Placement Cell,31,Medium
3111,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,39,Medium
5558,"Respected sir, When will the exam timetable be released",Examination Cell,25,Medium
2944,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,10,High
919,"Sir/Madam, Library fine needs to be cleared please advise",Library,24,Medium
4349,"Respected sir, My exam form submission is failing and the deadline is today",Examination Cell,19,High
3757,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,33,High
2054,What is the procedure for a transcript request,Administration,26,Low
3919,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,24,High
3721,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,15,High
1613,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,6,High
3106,"Hi, What are the library working hours",Library,44,Low
5300,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,34,High
2248,"Sir/Madam, What are the library working hours",Library,35,Low
3053,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,17,Medium
5930,Library fine needs to be cleared please advise,Library,33,Medium
5666,When will the exam timetable be released,Examination Cell,1,Medium
3090,"Hello, Where can I find old question papers",Administration,14,Low
4293,"Sir/Madam, When will the exam timetable be released",Examination Cell,16,Medium
3915,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,45,High
3954,Placement registration form is not opening properly,Placement Cell,35,Medium
3047,"Sir/Madam, Where can I find old question papers",Administration,23,Low
486,My scholarship amount has not been credited and fee deadline is near,Finance Office,46,High
5233,I need a bonafide certificate from the admission office,Admission Cell,12,Medium
5485,"Hi, I need a bonafide certificate from the admission office",Admission Cell,46,Medium
3917,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,40,High
728,Wifi has been down for three days and I have an online exam,Examination Cell,20,High
3748,"Respected sir, How do I reset my university portal password",IT Support,54,Medium
5670,"Sir/Madam, What documents are needed for hostel allotment",Hostel Office,41,Low
3494,"Respected sir, Hostel room change request for next semester",Hostel Office,14,Medium
1125,My exam form submission is failing and the deadline is today,Examination Cell,27,High
3391,"Hello, General query about elective subject options",Administration,55,Low
1282,"Hello, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,55,High
3432,"Hello, When will the exam timetable be released",Examination Cell,8,Medium
4322,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,36,High
2927,My exam form submission is failing and the deadline is today,Examination Cell,35,High
2289,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,17,High
3774,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,55,High
3680,Admit card has wrong details and exam is in two days,Examination Cell,42,High
4713,"Hello, What documents are needed for hostel allotment",Hostel Office,27,Low
785,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,23,High
286,"Hi, What are the library working hours",Library,41,Low
2758,"Sir/Madam, How to join student clubs at the university",Administration,36,Low
4547,"Hi, What documents are needed for hostel allotment",Hostel Office,25,Low
5017,"Respected sir, Library fine needs to be cleared please advise",Library,9,Medium
627,Library fine needs to be cleared please advise,Library,17,Medium
646,What is the procedure for a transcript request,Administration,30,Low
278,Admit card has wrong details and exam is in two days,Examination Cell,56,High
5797,"Hello, How can I update my contact details in the portal",IT Support,15,Low
5695,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,55,High
3648,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,7,High
4372,General query about elective subject options,Administration,18,Low
5846,"Hi, Placement registration form is not opening properly",Placement Cell,13,Medium
5236,"Respected sir, What is the procedure for a transcript request",Administration,59,Low
1951,Urgent I cannot download my hall ticket exam is tomorrow,Examination Cell,56,High
413,"Sir/Madam, What is the procedure for a transcript request",Administration,49,Low
5849,"Respected sir, I need my admission confirmed urgently before the cutoff today",Admission Cell,5,High
3575,Emergency hostel issue water leakage in my room right now,Hostel Office,60,High
5135,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,48,High
635,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,10,High
4364,"Hello, How can I update my contact details in the portal",IT Support,30,Low
5392,"Sir/Madam, How do I reset my university portal password",IT Support,58,Medium
3499,"Hello, How do I apply for an internship through placement cell",Placement Cell,41,Low
5630,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,23,Low
4735,Library fine needs to be cleared please advise,Library,3,Medium
2454,"Hi, How can I update my contact details in the portal",IT Support,56,Low
1908,"Respected sir, I want to know the scholarship application status",Finance Office,58,Medium
5122,"Hi, Where can I find old question papers",Administration,21,Low
5839,"Hello, Hostel room change request for next semester",Hostel Office,55,Medium
1219,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,3,High
1930,"Respected sir, How do I reset my university portal password",IT Support,59,Medium
1659,"Sir/Madam, Where can I find old question papers",Administration,48,Low
2746,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,32,High
2818,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,31,High
4628,Emergency hostel issue water leakage in my room right now,Hostel Office,28,High
2688,"Hi, How can I update my contact details in the portal",IT Support,2,Low
3492,"Sir/Madam, I want to know the scholarship application status",Finance Office,54,Medium
1534,Placement registration form is not opening properly,Placement Cell,47,Medium
1199,"Hello, What documents are needed for hostel allotment",Hostel Office,59,Low
1443,"Sir/Madam, When will the exam timetable be released",Examination Cell,30,Medium
4614,"Hi, What documents are needed for hostel allotment",Hostel Office,10,Low
1947,"Hi, I need my admission confirmed urgently before the cutoff today",Admission Cell,56,High
4171,"Sir/Madam, Where can I find old question papers",Administration,17,Low
4115,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,12,High
49,"Hi, How can I update my contact details in the portal",IT Support,60,Low
5422,"Sir/Madam, Hostel room change request for next semester",Hostel Office,10,Medium
1955,"Hello, Where can I find old question papers",Administration,11,Low
3868,"Sir/Madam, Library fine needs to be cleared please advise",Library,24,Medium
1346,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,51,High
756,I need my admission confirmed urgently before the cutoff today,Admission Cell,9,High
2566,"Hi, How do I reset my university portal password",IT Support,57,Medium
455,"Hello, Where can I find old question papers",Administration,4,Low
4492,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,35,High
2200,"Hi, My exam form submission is failing and the deadline is today",Examination Cell,12,High
1117,"Hello, Where can I find old question papers",Administration,58,Low
2869,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,48,High
2809,"Sir/Madam, What are the library working hours",Library,1,Low
5273,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,25,Low
3783,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,19,High
2265,"Sir/Madam, Wifi has been down for three days and I have an online exam",Examination Cell,55,High
4013,"Sir/Madam, I am locked out of the portal and need to pay fee before deadline",Finance Office,51,High
4613,"Sir/Madam, When will the exam timetable be released",Examination Cell,47,Medium
4709,"Respected sir, I want to know the scholarship application status",Finance Office,42,Medium
1372,"Sir/Madam, I want to know the scholarship application status",Finance Office,33,Medium
4864,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,55,High
1601,"Sir/Madam, General query about elective subject options",Administration,35,Low
4764,"Sir/Madam, How do I reset my university portal password",IT Support,52,Medium
4736,Library fine needs to be cleared please advise,Library,37,Medium
5221,"Sir/Madam, How do I apply for an internship through placement cell",Placement Cell,57,Low
5118,"Hello, What is the procedure for a transcript request",Administration,25,Low
377,"Respected sir, How to join student clubs at the university",Administration,60,Low
5674,"Hello, How to join student clubs at the university",Administration,46,Low
4579,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,9,High
550,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,30,High
4233,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,59,Medium
4310,"Hello, What are the library working hours",Library,47,Low
2112,"Respected sir, How can I update my contact details in the portal",IT Support,47,Low
2924,"Hello, I want to know the scholarship application status",Finance Office,22,Medium
3183,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,57,High
4578,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,49,High
4913,My scholarship amount has not been credited and fee deadline is near,Finance Office,10,High
1702,"Hi, Where can I find old question papers",Administration,22,Low
3423,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,22,High
2950,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,39,Medium
2827,"Respected sir, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,33,High
5659,"Hi, How to join student clubs at the university",Administration,22,Low
4976,"Hello, Emergency hostel issue water leakage in my room right now",Hostel Office,25,High
920,"Hi, What is the procedure for a transcript request",Administration,47,Low
584,How do I apply for an internship through placement cell,Placement Cell,37,Low
4346,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,32,High
3849,"Hello, What documents are needed for hostel allotment",Hostel Office,54,Low
5636,"Hi, How do I reset my university portal password",IT Support,23,Medium
1175,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,22,High
1761,"Hi, How do I apply for an internship through placement cell",Placement Cell,31,Low
1692,"Hello, How do I reset my university portal password",IT Support,25,Medium
557,I need a bonafide certificate from the admission office,Admission Cell,6,Medium
2719,"Hi, When will the exam timetable be released",Examination Cell,34,Medium
4155,"Respected sir, What documents are needed for hostel allotment",Hostel Office,11,Low
4491,"Sir/Madam, Where can I find old question papers",Administration,22,Low
2243,Wifi has been down for three days and I have an online exam,Examination Cell,6,High
2482,"Hi, What are the library working hours",Library,19,Low
2980,"Hi, I want to know the scholarship application status",Finance Office,26,Medium
4496,"Respected sir, Library fine needs to be cleared please advise",Library,13,Medium
324,"Respected sir, General query about elective subject options",Administration,15,Low
1855,"Respected sir, Emergency hostel issue water leakage in my room right now",Hostel Office,30,High
3722,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,53,High
710,"Sir/Madam, What is the procedure for a transcript request",Administration,2,Low
454,"Hi, I want to know the scholarship application status",Finance Office,52,Medium
2349,What documents are needed for hostel allotment,Hostel Office,34,Low
4636,"Hi, My fee receipt was not generated after payment",Finance Office,11,Medium
678,"Sir/Madam, How can I update my contact details in the portal",IT Support,10,Low
5156,How do I reset my university portal password,IT Support,54,Medium
4670,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,45,High
4464,"Respected sir, My fee receipt was not generated after payment",Finance Office,3,Medium
4154,"Hi, My fee receipt was not generated after payment",Finance Office,39,Medium
1003,"Hi, Library fine needs to be cleared please advise",Library,29,Medium
1492,"Sir/Madam, My scholarship amount has not been credited and fee deadline is near",Finance Office,15,High
5538,My scholarship amount has not been credited and fee deadline is near,Finance Office,42,High
910,"Hi, Placement registration form is not opening properly",Placement Cell,12,Medium
4720,When will the exam timetable be released,Examination Cell,33,Medium
946,Library fine needs to be cleared please advise,Library,30,Medium
3951,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,30,Medium
5789,"Hello, I want to know the scholarship application status",Finance Office,14,Medium
4039,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,2,High
2432,Hostel room change request for next semester,Hostel Office,44,Medium
5524,What are the library working hours,Library,42,Low
1364,"Hi, How to join student clubs at the university",Administration,6,Low
5887,"Hi, I want to know the scholarship application status",Finance Office,12,Medium
373,"Hi, How do I apply for an internship through placement cell",Placement Cell,43,Low
3508,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,19,High
3280,"Sir/Madam, I am locked out of the portal and need to pay fee before deadline",Finance Office,31,High
2383,"Sir/Madam, I want to know the scholarship application status",Finance Office,58,Medium
1522,"Hi, Library fine needs to be cleared please advise",Library,34,Medium
2653,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,3,High
4726,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,34,High
389,"Hello, Placement registration form is not opening properly",Placement Cell,14,Medium
2204,"Sir/Madam, What is the procedure for a transcript request",Administration,32,Low
3082,"Hello, General query about elective subject options",Administration,11,Low
1566,"Hello, Placement registration form is not opening properly",Placement Cell,23,Medium
5064,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,53,High
2034,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,2,High
1252,Wifi has been down for three days and I have an online exam,Examination Cell,35,High
5850,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,42,High
5179,"Respected sir, When will the exam timetable be released",Examination Cell,19,Medium
5522,General query about elective subject options,Administration,31,Low
328,My fee receipt was not generated after payment,Finance Office,16,Medium
2838,When will the exam timetable be released,Examination Cell,11,Medium
2966,"Respected sir, What are the library working hours",Library,5,Low
1274,"Hello, I need a bonafide certificate from the admission office",Admission Cell,40,Medium
5452,"Sir/Madam, How to join student clubs at the university",Administration,32,Low
4323,"Hi, When will the exam timetable be released",Examination Cell,21,Medium
1798,"Hi, I want to know the scholarship application status",Finance Office,37,Medium
2835,How can I update my contact details in the portal,IT Support,23,Low
2754,"Respected sir, What are the library working hours",Library,12,Low
3966,"Hi, Emergency hostel issue water leakage in my room right now",Hostel Office,35,High
1714,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,35,High
655,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,25,Medium
719,"Sir/Madam, Placement registration form is not opening properly",Placement Cell,36,Medium
208,"Hello, Hostel room change request for next semester",Hostel Office,17,Medium
5284,How can I update my contact details in the portal,IT Support,52,Low
5185,How do I apply for an internship through placement cell,Placement Cell,16,Low
2825,"Sir/Madam, Where can I find old question papers",Administration,23,Low
5910,"Respected sir, Library fine needs to be cleared please advise",Library,21,Medium
3796,"Hi, I need a bonafide certificate from the admission office",Admission Cell,56,Medium
104,"Sir/Madam, I want to know the scholarship application status",Finance Office,9,Medium
2768,"Respected sir, How do I reset my university portal password",IT Support,58,Medium
5755,How do I apply for an internship through placement cell,Placement Cell,18,Low
963,"Hello, What is the procedure for a transcript request",Administration,59,Low
4498,"Hello, Placement registration form is not opening properly",Placement Cell,17,Medium
5612,"Hi, I need a bonafide certificate from the admission office",Admission Cell,6,Medium
2691,"Respected sir, What is the procedure for a transcript request",Administration,27,Low
4905,I am locked out of the portal and need to pay fee before deadline,Finance Office,60,High
1212,I am locked out of the portal and need to pay fee before deadline,Finance Office,60,High
5128,"Sir/Madam, General query about elective subject options",Administration,37,Low
1904,I want to know the scholarship application status,Finance Office,45,Medium
2601,General query about elective subject options,Administration,25,Low
5043,"Hi, Placement registration form is not opening properly",Placement Cell,56,Medium
2860,"Hello, How do I reset my university portal password",IT Support,8,Medium
3004,"Sir/Madam, General query about elective subject options",Administration,51,Low
3160,"Hello, Emergency hostel issue water leakage in my room right now",Hostel Office,53,High
5402,"Hi, How do I reset my university portal password",IT Support,36,Medium
360,How can I update my contact details in the portal,IT Support,51,Low
3271,"Hi, How to join student clubs at the university",Administration,34,Low
1637,What are the library working hours,Library,8,Low
4446,Where can I find old question papers,Administration,13,Low
1682,"Hello, General query about elective subject options",Administration,26,Low
4708,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,47,High
90,"Sir/Madam, I want to know the scholarship application status",Finance Office,54,Medium
5605,"Sir/Madam, General query about elective subject options",Administration,18,Low
3844,"Sir/Madam, When will the exam timetable be released",Examination Cell,20,Medium
4665,"Hello, I am locked out of the portal and need to pay fee before deadline",Finance Office,14,High
5296,"Hello, What is the procedure for a transcript request",Administration,4,Low
5771,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,54,High
1445,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,39,High
1162,How to join student clubs at the university,Administration,42,Low
1683,"Hi, How to join student clubs at the university",Administration,13,Low
2909,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,10,High
3134,"Hi, Admit card has wrong details and exam is in two days",Examination Cell,5,High
5119,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,32,High
2538,"Hello, Hostel room change request for next semester",Hostel Office,38,Medium
5739,"Sir/Madam, Library fine needs to be cleared please advise",Library,35,Medium
4915,"Respected sir, I want to know the scholarship application status",Finance Office,37,Medium
3505,"Hello, General query about elective subject options",Administration,50,Low
4589,When will the exam timetable be released,Examination Cell,21,Medium
3878,"Respected sir, What are the library working hours",Library,60,Low
3365,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,58,High
1584,"Hello, What documents are needed for hostel allotment",Hostel Office,56,Low
367,What is the procedure for a transcript request,Administration,6,Low
2435,"Respected sir, Placement registration form is not opening properly",Placement Cell,29,Medium
4229,"Sir/Madam, What documents are needed for hostel allotment",Hostel Office,22,Low
1133,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,13,High
5638,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,58,High
64,General query about elective subject options,Administration,16,Low
1404,"Hello, Library fine needs to be cleared please advise",Library,31,Medium
1134,"Hello, Placement registration form is not opening properly",Placement Cell,11,Medium
280,"Hi, How do I reset my university portal password",IT Support,27,Medium
4826,"Sir/Madam, Emergency hostel issue water leakage in my room right now",Hostel Office,27,High
3801,"Hi, What are the library working hours",Library,23,Low
1400,"Hello, What is the procedure for a transcript request",Administration,45,Low
1349,"Sir/Madam, General query about elective subject options",Administration,48,Low
3033,I need a bonafide certificate from the admission office,Admission Cell,35,Medium
3766,My fee receipt was not generated after payment,Finance Office,48,Medium
2880,I need a bonafide certificate from the admission office,Admission Cell,59,Medium
488,Emergency hostel issue water leakage in my room right now,Hostel Office,21,High
1121,My scholarship amount has not been credited and fee deadline is near,Finance Office,24,High
5372,"Respected sir, What documents are needed for hostel allotment",Hostel Office,2,Low
1246,Where can I find old question papers,Administration,30,Low
4257,"Respected sir, What documents are needed for hostel allotment",Hostel Office,27,Low
5410,"Respected sir, I want to know the scholarship application status",Finance Office,29,Medium
2879,"Respected sir, Hostel room change request for next semester",Hostel Office,23,Medium
1163,"Sir/Madam, I need my admission confirmed urgently before the cutoff today",Admission Cell,56,High
1330,"Sir/Madam, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,43,High
33,"Respected sir, Wifi has been down for three days and I have an online exam",Examination Cell,5,High
5749,"Hello, My exam form submission is failing and the deadline is today",Examination Cell,6,High
3869,"Hello, Library fine needs to be cleared please advise",Library,17,Medium
5159,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,13,High
1773,"Sir/Madam, What documents are needed for hostel allotment",Hostel Office,60,Low
5375,"Hello, I need my admission confirmed urgently before the cutoff today",Admission Cell,34,High
1647,"Sir/Madam, How do I reset my university portal password",IT Support,32,Medium
3981,"Respected sir, What are the library working hours",Library,20,Low
3832,"Sir/Madam, My fee receipt was not generated after payment",Finance Office,22,Medium
4107,"Hello, How can I update my contact details in the portal",IT Support,32,Low
1055,"Respected sir, I need a bonafide certificate from the admission office",Admission Cell,56,Medium
446,"Hi, My scholarship amount has not been credited and fee deadline is near",Finance Office,54,High
5554,"Respected sir, Placement registration form is not opening properly",Placement Cell,21,Medium
406,"Hello, Hostel room change request for next semester",Hostel Office,15,Medium
1596,"Hi, I am locked out of the portal and need to pay fee before deadline",Finance Office,10,High
5320,"Hello, What are the library working hours",Library,46,Low
3165,"Respected sir, My scholarship amount has not been credited and fee deadline is near",Finance Office,30,High
391,"Respected sir, I am locked out of the portal and need to pay fee before deadline",Finance Office,32,High
4595,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,24,Medium
5479,How can I update my contact details in the portal,IT Support,1,Low
1096,"Hello, When will the exam timetable be released",Examination Cell,38,Medium
5441,"Hello, What documents are needed for hostel allotment",Hostel Office,52,Low
466,"Sir/Madam, I want to know the scholarship application status",Finance Office,29,Medium
1699,"Hello, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,51,High
4401,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,49,Medium
2338,"Hello, My fee receipt was not generated after payment",Finance Office,44,Medium
4933,"Hello, How to join student clubs at the university",Administration,3,Low
5528,"Respected sir, Placement registration form is not opening properly",Placement Cell,34,Medium
37,When will the exam timetable be released,Examination Cell,19,Medium
3184,"Hi, Urgent I cannot download my hall ticket exam is tomorrow",Examination Cell,2,High
2899,"Respected sir, Admit card has wrong details and exam is in two days",Examination Cell,24,High
4972,"Sir/Madam, Placement registration form is not opening properly",Placement Cell,28,Medium
687,How do I reset my university portal password,IT Support,13,Medium
1001,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,23,Medium
3989,What are the library working hours,Library,47,Low
5072,"Hello, Wifi has been down for three days and I have an online exam",Examination Cell,19,High
3893,"Hello, Admit card has wrong details and exam is in two days",Examination Cell,60,High
1474,How do I reset my university portal password,IT Support,50,Medium
2190,"Respected sir, How to join student clubs at the university",Administration,12,Low
2090,"Hello, What are the library working hours",Library,8,Low
2183,"Sir/Madam, Library fine needs to be cleared please advise",Library,46,Medium
2002,"Hello, How can I update my contact details in the portal",IT Support,41,Low
3589,"Sir/Madam, General query about elective subject options",Administration,14,Low
5525,"Hi, General query about elective subject options",Administration,42,Low
5056,Hostel room change request for next semester,Hostel Office,13,Medium
2071,"Sir/Madam, I need a bonafide certificate from the admission office",Admission Cell,33,Medium
3993,"Hello, What documents are needed for hostel allotment",Hostel Office,41,Low
1034,"Hi, Wifi has been down for three days and I have an online exam",Examination Cell,53,High
5088,"Sir/Madam, How can I update my contact details in the portal",IT Support,44,Low
1605,"Hello, My scholarship amount has not been credited and fee deadline is near",Finance Office,5,High
1495,"Hello, Where can I find old question papers",Administration,58,Low
4259,"Hi, When will the exam timetable be released",Examination Cell,34,Medium
2318,"Hello, What is the procedure for a transcript request",Administration,57,Low
3925,"Respected sir, How do I reset my university portal password",IT Support,25,Medium
